DIRN GRATING START_TIME STOP_TIME T_LONG N_SHORT
INSR LETG 2004111.01573040 2004111.02002770 152.212 13
RETR LETG 2004111.07461370 2004111.07485360 153.237 4
INSR LETG 2004125.09343770 2004125.09373300 152.212 12
RETR LETG 2004125.21451900 2004125.21475890 153.237 4
INSR LETG 2004127.15042600 2004127.15072330 152.212 13
RETR LETG 2004127.23514780 2004127.23542970 153.237 5
INSR LETG 2004129.15322870 2004129.15352910 152.212 14
RETR LETG 2004130.03290850 2004130.03314940 153.237 4
INSR HETG 2004140.04230680 2004140.04254160 154.775 0
RETR HETG 2004144.17504500 2004144.17531970 154.775 0
INSR HETG 2004145.11562560 2004145.11590140 155.031 0
RETR HETG 2004148.14093850 2004148.14121330 154.775 0
INSR HETG 2004149.04214450 2004149.04241930 154.775 0
RETR HETG 2004151.21531800 2004151.21555280 154.775 0
INSR LETG 2004153.10141880 2004153.10171510 152.212 12
RETR LETG 2004154.08111710 2004154.08140110 153.237 6
INSR HETG 2004154.12324680 2004154.12352150 155.031 0
